,Id_пассажира,Выжил,Класс_пассажира,Пол,Год_рождения,Заработок,Номер_каюты
0,1,0,3,male,1890.0,7.25,C23
1,2,1,1,female,1874.0,71.2833,C85
2,3,1,3,female,1886.0,7.925,C23
3,4,1,1,female,1877.0,53.1,C123
4,5,0,3,male,1877.0,8.05,C23
5,6,0,3,male,1882.0,8.4583,C23
6,7,0,1,male,1858.0,51.8625,E46
7,8,0,3,male,1910.0,21.075,C23
8,9,1,3,female,1885.0,11.1333,C23
9,10,1,2,female,1898.0,30.0708,C23
10,11,1,3,female,1908.0,16.7,G6
11,12,1,1,female,1854.0,26.55,C103
12,13,0,3,male,1892.0,8.05,C23
13,14,0,3,male,1873.0,31.275,C23
14,15,0,3,female,1898.0,7.8542,C23
15,16,1,2,female,1857.0,16.0,C23
16,17,0,3,male,1910.0,29.125,C23
17,18,1,2,male,1882.0,13.0,C23
18,19,0,3,female,1881.0,18.0,C23
19,20,1,3,female,1882.0,7.225,C23
20,21,0,2,male,1877.0,26.0,C23
21,22,1,2,male,1878.0,13.0,D56
22,23,1,3,female,1897.0,8.0292,C23
23,24,1,1,male,1884.0,35.5,A6
24,25,0,3,female,1904.0,21.075,C23
25,26,1,3,female,1874.0,31.3875,C23
26,27,0,3,male,1882.0,7.225,C23
27,28,0,1,male,1893.0,263.0,C23 C25 C27
28,29,1,3,female,1882.0,7.8792,C23
29,30,0,3,male,1882.0,7.8958,C23
30,31,0,1,male,1872.0,27.7208,C23
31,32,1,1,female,1882.0,146.5208,B78
32,33,1,3,female,1882.0,7.75,C23
33,34,0,2,male,1846.0,10.5,C23
34,35,0,1,male,1884.0,82.1708,C23
35,36,0,1,male,1870.0,52.0,C23
36,37,1,3,male,1882.0,7.2292,C23
37,38,0,3,male,1891.0,8.05,C23
38,39,0,3,female,1894.0,18.0,C23
39,40,1,3,female,1898.0,11.2417,C23
40,41,0,3,female,1872.0,9.475,C23
41,42,0,2,female,1885.0,21.0,C23
42,43,0,3,male,1882.0,7.8958,C23
43,44,1,2,female,1909.0,41.5792,C23
44,45,1,3,female,1893.0,7.8792,C23
45,46,0,3,male,1882.0,8.05,C23
46,47,0,3,male,1882.0,15.5,C23
47,48,1,3,female,1882.0,7.75,C23
48,49,0,3,male,1882.0,21.6792,C23
49,50,0,3,female,1894.0,17.8,C23
50,51,0,3,male,1905.0,39.6875,C23
51,52,0,3,male,1891.0,7.8,C23
52,53,1,1,female,1863.0,76.7292,D33
53,54,1,2,female,1883.0,26.0,C23
54,55,0,1,male,1847.0,61.9792,B30
55,56,1,1,male,1882.0,35.5,C52
56,57,1,2,female,1891.0,10.5,C23
57,58,0,3,male,1883.5,7.2292,C23
58,59,1,2,female,1907.0,27.75,C23
59,60,0,3,male,1901.0,46.9,C23
60,61,0,3,male,1890.0,7.2292,C23
61,62,1,1,female,1874.0,80.0,B28
62,63,0,1,male,1867.0,83.475,C83
63,64,0,3,male,1908.0,27.9,C23
64,65,0,1,male,1882.0,27.7208,C23
65,66,1,3,male,1882.0,15.2458,C23
66,67,1,2,female,1883.0,10.5,F33
67,68,0,3,male,1893.0,8.1583,C23
68,69,1,3,female,1895.0,7.925,C23
69,70,0,3,male,1886.0,8.6625,C23
70,71,0,2,male,1880.0,10.5,C23
71,72,0,3,female,1896.0,46.9,C23
72,73,0,2,male,1891.0,73.5,C23
73,74,0,3,male,1886.0,14.4542,C23
74,75,1,3,male,1880.0,56.4958,C23
75,76,0,3,male,1887.0,7.65,F G73
76,77,0,3,male,1882.0,7.8958,C23
77,78,0,3,male,1882.0,8.05,C23
78,79,1,2,male,1911.17,29.0,C23
79,80,1,3,female,1882.0,12.475,C23
80,81,0,3,male,1890.0,9.0,C23
81,82,1,3,male,1883.0,9.5,C23
82,83,1,3,female,1882.0,7.7875,C23
83,84,0,1,male,1884.0,47.1,C23
84,85,1,2,female,1895.0,10.5,C23
85,86,1,3,female,1879.0,15.85,C23
86,87,0,3,male,1896.0,34.375,C23
87,88,0,3,male,1882.0,8.05,C23
88,89,1,1,female,1889.0,263.0,C23 C25 C27
89,90,0,3,male,1888.0,8.05,C23
90,91,0,3,male,1883.0,8.05,C23
91,92,0,3,male,1892.0,7.8542,C23
92,93,0,1,male,1866.0,61.175,E31
93,94,0,3,male,1886.0,20.575,C23
94,95,0,3,male,1853.0,7.25,C23
95,96,0,3,male,1882.0,8.05,C23
96,97,0,1,male,1841.0,34.6542,A5
97,98,1,1,male,1889.0,63.3583,D10 D12
98,99,1,2,female,1878.0,23.0,C23
99,100,0,2,male,1878.0,26.0,C23
100,101,0,3,female,1884.0,7.8958,C23
101,102,0,3,male,1882.0,7.8958,C23
102,103,0,1,male,1891.0,77.2875,D26
103,104,0,3,male,1879.0,8.6542,C23
104,105,0,3,male,1875.0,7.925,C23
105,106,0,3,male,1884.0,7.8958,C23
106,107,1,3,female,1891.0,7.65,C23
107,108,1,3,male,1882.0,7.775,C23
108,109,0,3,male,1874.0,7.8958,C23
109,110,1,3,female,1882.0,24.15,C23
110,111,0,1,male,1865.0,52.0,C110
111,112,0,3,female,1897.5,14.4542,C23
112,113,0,3,male,1890.0,8.05,C23
113,114,0,3,female,1892.0,9.825,C23
114,115,0,3,female,1895.0,14.4583,C23
115,116,0,3,male,1891.0,7.925,C23
116,117,0,3,male,1841.5,7.75,C23
117,118,0,2,male,1883.0,21.0,C23
118,119,0,1,male,1888.0,247.5208,B58 B60
119,120,0,3,female,1910.0,31.275,C23
120,121,0,2,male,1891.0,73.5,C23
121,122,0,3,male,1882.0,8.05,C23
122,123,0,2,male,1879.5,30.0708,C23
123,124,1,2,female,1879.5,13.0,E101
124,125,0,1,male,1858.0,77.2875,D26
125,126,1,3,male,1900.0,11.2417,C23
126,127,0,3,male,1882.0,7.75,C23
127,128,1,3,male,1888.0,7.1417,C23
128,129,1,3,female,1882.0,22.3583,F E69
129,130,0,3,male,1867.0,6.975,C23
130,131,0,3,male,1879.0,7.8958,C23
131,132,0,3,male,1892.0,7.05,C23
132,133,0,3,female,1865.0,14.5,C23
133,134,1,2,female,1883.0,26.0,C23
134,135,0,2,male,1887.0,13.0,C23
135,136,0,2,male,1889.0,15.0458,C23
136,137,1,1,female,1893.0,26.2833,D47
137,138,0,1,male,1875.0,53.1,C123
138,139,0,3,male,1896.0,9.2167,C23
139,140,0,1,male,1888.0,79.2,B86
140,141,0,3,female,1882.0,15.2458,C23
141,142,1,3,female,1890.0,7.75,C23
142,143,1,3,female,1888.0,15.85,C23
143,144,0,3,male,1893.0,6.75,C23
144,145,0,2,male,1894.0,11.5,C23
145,146,0,2,male,1893.0,36.75,C23
146,147,1,3,male,1885.0,7.7958,C23
147,148,0,3,female,1903.0,34.375,C23
148,149,0,2,male,1875.5,26.0,F2
149,150,0,2,male,1870.0,13.0,C23
150,151,0,2,male,1861.0,12.525,C23
151,152,1,1,female,1890.0,66.6,C2
152,153,0,3,male,1856.5,8.05,C23
153,154,0,3,male,1871.5,14.5,C23
154,155,0,3,male,1882.0,7.3125,C23
155,156,0,1,male,1861.0,61.3792,C23
156,157,1,3,female,1896.0,7.7333,C23
157,158,0,3,male,1882.0,8.05,C23
158,159,0,3,male,1882.0,8.6625,C23
159,160,0,3,male,1882.0,69.55,C23
160,161,0,3,male,1868.0,16.1,C23
161,162,1,2,female,1872.0,15.75,C23
162,163,0,3,male,1886.0,7.775,C23
163,164,0,3,male,1895.0,8.6625,C23
164,165,0,3,male,1911.0,39.6875,C23
165,166,1,3,male,1903.0,20.525,C23
166,167,1,1,female,1882.0,55.0,E33
167,168,0,3,female,1867.0,27.9,C23
168,169,0,1,male,1882.0,25.925,C23
169,170,0,3,male,1884.0,56.4958,C23
170,171,0,1,male,1851.0,33.5,B19
171,172,0,3,male,1908.0,29.125,C23
172,173,1,3,female,1911.0,11.1333,C23
173,174,0,3,male,1891.0,7.925,C23
174,175,0,1,male,1856.0,30.6958,A7
175,176,0,3,male,1894.0,7.8542,C23
176,177,0,3,male,1882.0,25.4667,C23
177,178,0,1,female,1862.0,28.7125,C49
178,179,0,2,male,1882.0,13.0,C23
179,180,0,3,male,1876.0,0.0,C23
180,181,0,3,female,1882.0,69.55,C23
181,182,0,2,male,1882.0,15.05,C23
182,183,0,3,male,1903.0,31.3875,C23
183,184,1,2,male,1911.0,39.0,F4
184,185,1,3,female,1908.0,22.025,C23
185,186,0,1,male,1882.0,50.0,A32
186,187,1,3,female,1882.0,15.5,C23
187,188,1,1,male,1867.0,26.55,C23
188,189,0,3,male,1872.0,15.5,C23
189,190,0,3,male,1876.0,7.8958,C23
190,191,1,2,female,1880.0,13.0,C23
191,192,0,2,male,1893.0,13.0,C23
192,193,1,3,female,1893.0,7.8542,C23
193,194,1,2,male,1909.0,26.0,F2
194,195,1,1,female,1868.0,27.7208,B4
195,196,1,1,female,1854.0,146.5208,B80
196,197,0,3,male,1882.0,7.75,C23
197,198,0,3,male,1870.0,8.4042,C23
198,199,1,3,female,1882.0,7.75,C23
199,200,0,2,female,1888.0,13.0,C23
200,201,0,3,male,1884.0,9.5,C23
201,202,0,3,male,1882.0,69.55,C23
202,203,0,3,male,1878.0,6.4958,C23
203,204,0,3,male,1866.5,7.225,C23
204,205,1,3,male,1894.0,8.05,C23
205,206,0,3,female,1910.0,10.4625,G6
206,207,0,3,male,1880.0,15.85,C23
207,208,1,3,male,1886.0,18.7875,C23
208,209,1,3,female,1896.0,7.75,C23
209,210,1,1,male,1872.0,31.0,A31
210,211,0,3,male,1888.0,7.05,C23
211,212,1,2,female,1877.0,21.0,C23
212,213,0,3,male,1890.0,7.25,C23
213,214,0,2,male,1882.0,13.0,C23
214,215,0,3,male,1882.0,7.75,C23
215,216,1,1,female,1881.0,113.275,D36
216,217,1,3,female,1885.0,7.925,C23
217,218,0,2,male,1870.0,27.0,C23
218,219,1,1,female,1880.0,76.2917,D15
219,220,0,2,male,1882.0,10.5,C23
220,221,1,3,male,1896.0,8.05,C23
221,222,0,2,male,1885.0,13.0,C23
222,223,0,3,male,1861.0,8.05,C23
223,224,0,3,male,1882.0,7.8958,C23
224,225,1,1,male,1874.0,90.0,C93
225,226,0,3,male,1890.0,9.35,C23
226,227,1,2,male,1893.0,10.5,C23
227,228,0,3,male,1891.5,7.25,C23
228,229,0,2,male,1894.0,13.0,C23
229,230,0,3,female,1882.0,25.4667,C23
230,231,1,1,female,1877.0,83.475,C83
231,232,0,3,male,1883.0,7.775,C23
232,233,0,2,male,1853.0,13.5,C23
233,234,1,3,female,1907.0,31.3875,C23
234,235,0,2,male,1888.0,10.5,C23
235,236,0,3,female,1882.0,7.55,C23
236,237,0,2,male,1868.0,26.0,C23
237,238,1,2,female,1904.0,26.25,C23
238,239,0,2,male,1893.0,10.5,C23
239,240,0,2,male,1879.0,12.275,C23
240,241,0,3,female,1882.0,14.4542,C23
241,242,1,3,female,1882.0,15.5,C23
242,243,0,2,male,1883.0,10.5,C23
243,244,0,3,male,1890.0,7.125,C23
